Pitcher,FB Velo,FB Base Hits,FB GB,FB Flyballs,FB Sw Miss,CB Velo,CB Hit,CB GB,CB Fly Ball,CV Sw Miss,Slider Velo,Sl Hits,Sl GB,Sl Fly Ball,Sl Sw Miss,Ch Velo,Ch Hits,Ch GB,Ch Fly Ball,Ch Sw Miss
B. Allen,(73-75) 76-79,0,1,2,0,,,,,,(68-69) 71-73,2,5,8,5,(69-70)  75-76,,,,
C. Allen,(78-81) 80-82,1,1,2,3,(62-62),,,,,(67-70) 70,1,1,3,1,(72-73)  74,2,,2,
Baker,(77-79)  78-82,4,2,2,2,(70-72)  72-75,3,2,2,,74-76,,,,,(72-74)  74-76,4,5,2,2
Bell,(77-82)  73-76,,2,3,3,(66-69)  64-67,1,1,1,1,(70-72),,,,,(70-71)  72,1,1,,
Brennan,(80-83),2,1,5,,(65-66),,,,,(72-75),1,,,1,71 (67),,,,
Cindric,(83-85)  84-86  ,,,,2,70,1,1,,,(73)  76,1,1,,,(75)  76-78,1,1,,2
Eschliman,(84-85)  85-88,3,3,1,3,(67-67)  67-70,,,,,,,,,,,,,,
Harkins,(78-82) 80-81,,4,1,,(65-67),,,,,(69-70)  69-70,3,2,1,,,,,,
Hulst,(73-80)   79,2,2,1,,70,,,,,(68-70)  70-72,1,3,2,2,74,,,1,
Johnson,(81-86)  84-89,2,3,2,1,(75-76),1,1,1,,(79-81)  78-80,,1,,,(77-78)  78-79,,1,,
Plunkett,(77-81)  81-82,1,2,1,0,(68)   72-73,,,,,(72-73),,,1,,(74)  77-78,,,1,
Rattie,79-81,,1,1,1,,,,,,69-72,,,1,1,76-77,,,,1
Robman,(80-84) 84-86,,2,1,4,,,,,,(71-74)  73,,,2,2,(73)  81-82,,,,
Moriarty,(79-82)  81-82,3,4,,,(69-69),,,,,(72-75)  76-77,1,,1,1,(75)  77-80,,1,,2
Seay,(75-79)  76-78,2,,2,4,,,,,,(68-69) 67-70,,1,2,,(71)  71-72,3,2,1,
Spero,(80-84)  79-83,,4,1,5,,,,,,(65-67)  65-66,,1,1,,(71),,,,1
Batalucco,(77-81)  81-83,2,3,4,2,(68-69)  65-66,,1,1,1,,,,,,(74-74),,,,
Blackwell,(80-83)   83-85,2,2,3,3,,,,,,(74-76)  72-74,3,2,1,1,(74-75)  73-75,,,,
Decker,(79-82)  82-83,1,3,4,2,(69-71)  71-72,1,4,,4,70,,,1,2,(78)  79,,,,
Tokumaru,(68-69)  74-76,,2,3,,(64)  64,,1,2,,,,,,,(66-67) 68-69,2,1,2,2
Crockett,(78-83)  82-84,3,3,1,1,,,,,,(74-76)  75-78,,1,,3,,,,,
Lee,(73-77) 75-78,2,1,1,2,(61-62) 58-61,,4,3,,SPT(67-69) 69-70,,2,1,1,(67-69)  70-73,,1,1,3